company,lat,lng,location,classification,services,offer_model,project_size_range,federal_state,reference_projects
AlpineVolt Development AG,51.1657,10.4515,Rosenheim,Ground-Mounted Solar,Mountain area design with snow load calculations,EPC/Project Sale,1–10 MW,Bavaria,Chiemgau Field (4 MW
Baltic PV Works GmbH,54.0924,12.0991,Rostock,Ground-Mounted & Agri-PV,Coastal projects with bird protection concepts,Lease + Participation,>10 MW,Mecklenburg-Western Pomerania,Ribnitz PV Park (11 MW
Elbe Renewables GmbH,51.0504,13.7373,Dresden,Ground-Mounted Solar,Land pooling & citizen participation,Lease/Participation,>10 MW,Saxony,Elbe South Park (14 MW
Hanseatic AgriPV GmbH,51.1657,10.4515,Lueneburg,Agri-PV (Vertical),Vertical bifacial systems ensuring full crop yield,Sale/Installation,1–5 MW,Lower Saxony,AgriPV Bardowick (2.1 MW
BlackForest Solar Construction GmbH,51.1657,10.4515,Freiburg,Ground-Mounted Solar,Nature compensation & environmental planning,Lease,1–10 MW,Baden-Wuerttemberg,PV Denzlingen (5 MW
HavelSun Projects GmbH,51.1657,10.4515,Potsdam,Ground-Mounted Solar,Conversion land & grid feasibility,Lease/EPC,>10 MW,Brandenburg,Falkensee Airfield (13 MW
SpreeVolt Energy GmbH,52.52,13.405,Berlin,Ground-Mounted & Agri-PV,Project structuring & PPA negotiation,Cooperation/Participation,>20 MW,Brandenburg,Spreewald PPA Park (21 MW
Ruhr PV Systems GmbH,51.1657,10.4515,Essen,Ground-Mounted Solar,Industrial PV + on-site storage,Own Operation/Lease,5–10 MW,NRW,Zollverein PV (6 MW
DanubeSolar Projects GmbH,51.1657,10.4515,Regensburg,Ground-Mounted Solar,Environmental impact & cable routing studies,Lease,1–10 MW,Bavaria,Danube Meadow (3.8 MW
IsarGrid Energy GmbH,48.1351,11.582,Munich,Ground-Mounted & Agri-PV,Hybrid PV + Wind integration,Lease/Cooperation,>20 MW,Bavaria,Isar Hybrid (24 MW
WeserWatt GmbH,51.1657,10.4515,Oldenburg,Ground-Mounted Solar,Drainage & moorland system design,EPC/Lease,1–10 MW,Lower Saxony,Marschland North (4.5 MW
Taunus Renewables UG,48.775846,9.182932,Wiesbaden,Ground-Mounted Solar,Municipal dialogue & community funds,Participation/Lease,5–10 MW,Hesse,Taunusstein PV (7.2 MW
MoselSun Power GmbH,51.1657,10.4515,Trier,Ground-Mounted Solar,Viticulture-optimized mounting structures,EPC/Cooperation,1–5 MW,Rhineland-Palatinate,Mosel Hillside (1.6 MW
Eifel PV Projects GmbH,51.1657,10.4515,Daun,Ground-Mounted Solar,Hillside projects & soil testing,Lease,1–5 MW,Rhineland-Palatinate,Eifel West (2.4 MW
Lausitz SolarWorks GmbH,51.1657,10.4515,Cottbus,Ground-Mounted Solar,Reclamation & storage integration,Lease/Own Operation,>10 MW,Brandenburg,Lausitz South (15 MW
